hour,mean,std,min,max
0,10.57,0.18,10.44,10.7
1,10.44,0.03,10.42,10.46
2,10.57,0.01,10.56,10.58
3,10.57,0.02,10.56,10.58
4,10.61,0.04,10.58,10.63
5,10.46,0.18,10.34,10.58
6,10.29,0.03,10.27,10.32
7,10.23,0.01,10.22,10.23
8,10.23,0.03,10.21,10.26
9,10.23,0.03,10.21,10.26
10,10.17,0.02,10.16,10.18
11,10.28,0.01,10.27,10.29
12,10.16,0.11,10.08,10.24
13,10.4,0.13,10.31,10.49
14,10.56,0.11,10.48,10.64
15,10.87,0.31,10.65,11.09
16,10.98,0.16,10.87,11.1
17,11.1,0.12,11.01,11.19
18,11.04,0.02,11.03,11.06
19,10.91,0.11,10.84,10.99
20,10.79,0.0,10.79,10.79
21,10.59,0.15,10.49,10.69
22,10.6,0.34,10.36,10.84
23,10.24,0.2,10.1,10.38
